timestamp,koridor,penumpang
2026-06-23T17:28:42.755141,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:15.802465,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:16.772000,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:17.002284,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:17.238058,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:17.477107,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:17.696595,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:17.895981,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:18.084469,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:18.307085,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:18.526805,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:18.749688,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:18.962673,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:19.180673,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:19.411574,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:19.626613,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:19.848752,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:20.054088,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:20.226361,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:20.446011,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:20.651098,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:20.855020,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:21.056686,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:21.255780,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:21.461516,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:21.627451,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:21.852104,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:22.023958,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:22.173009,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:22.360446,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:22.532252,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:22.716683,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:22.919605,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:23.106428,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:23.254016,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:23.460100,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:23.663818,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:23.830469,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:24.035045,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:24.233772,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:24.393118,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:24.586874,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:24.764996,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:24.942864,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:25.129624,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:25.318212,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:25.484581,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:25.661156,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:25.836890,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:26.019482,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:26.203833,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:26.390924,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:26.588086,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:26.767001,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:26.942688,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:27.136598,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:27.324883,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:27.495738,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:27.655367,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:27.807995,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:27.995446,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:28.150246,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:28.340280,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:28.514048,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:28.706649,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:28.901445,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:29.081042,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:29.266497,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:29.460717,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:29.626961,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:29.802466,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:29.949761,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:30.144156,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:30.334703,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:30.526524,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:30.682121,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:30.863884,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:31.044110,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:31.233091,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:31.422226,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:31.608844,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:31.814030,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:32.005698,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:32.170443,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:32.359208,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:32.529331,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:32.712165,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:32.902820,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.096029,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.281095,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.432298,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.632061,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.797439,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.984687,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:34.162442,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:34.343754,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:34.503975,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:34.698745,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:34.913956,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:35.108834,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:35.289304,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:36:05.104439,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:05.104439,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:06.742142,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:06.986847,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:07.110188,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:07.316930,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:07.537837,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:07.757961,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:07.893679,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:08.098621,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:08.326749,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:08.462786,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:08.677714,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:08.899824,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:09.044855,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:09.274184,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:09.501160,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:09.630223,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:09.828200,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:10.035038,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:10.158567,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:10.309581,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:10.521286,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:10.720878,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:10.862579,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:11.072232,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:11.274787,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:11.488433,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:11.618369,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:11.830139,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:12.071408,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:12.117039,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:12.406796,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:12.618920,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:12.619920,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:12.940215,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:13.116771,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:13.269590,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:13.482262,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:13.586605,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:13.750235,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:37:24.252118,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:25.092267,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:25.265027,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:25.438712,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:25.644770,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:25.838807,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:26.008983,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:26.202262,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:26.404955,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:26.616785,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:26.782269,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:26.989038,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:27.206705,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:27.404155,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:27.599022,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:27.804758,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:27.994818,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:28.182089,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:28.373726,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:28.572033,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:28.776700,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:28.939445,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:29.102691,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:29.277299,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:29.478054,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:29.640024,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:29.831936,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:30.021189,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:31.182127,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:31.542330,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:31.849620,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:32.145106,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:32.437560,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:32.740208,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:33.012377,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:33.280109,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:33.538448,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:33.852776,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:34.150124,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:34.442458,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:34.729816,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:35.005158,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:35.251536,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:35.500304,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:35.771287,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:36.057685,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:36.354058,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:36.642276,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:36.928568,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:37.208167,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:37.484148,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:37.838570,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:38.133518,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:38.439735,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:38.711989,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:39.012866,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:39.299409,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:39.608941,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:39.880774,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:40.149922,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:40.528827,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:40.734853,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:40.907979,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:41.108953,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:41.292324,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:41.455060,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:41.660252,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:41.822453,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:41.974985,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:42.132302,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:42.285333,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:42.471014,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:42.674354,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:37:42.819940,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:42:14.387949,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:45:51.082849,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:46:22.015071,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:50:46.622131,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:51:41.476961,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:53:11.582029,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:53:53.545364,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:54:49.706146,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:55:46.106656,Koridor 1: Purabaya - Rajawali,48
2026-06-23T17:57:21.828140,Koridor 1: Purabaya - Rajawali,48
2026-06-23T18:04:06.104483,Koridor 1: Purabaya - Rajawali,48
